% Model:              IceShelf2D_forward.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 8 2025, 10:43
% Dimension:          2
% Nodes:              100000
% Expressions:        4
% Description:        Dependent variable u, Dependent variable v, Dependent variable H, given viscosity
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  H (m)                    nu (Pa*s)
49100                     100                      1.757035508727779E-5     -4.6842671356352084E-8   211.20423895000457       2.1782969755935633E13
49300                     100                      1.7709763439217954E-5    -4.69196499426517E-8     210.67916339743576       2.1803804734181387E13
49500                     100                      1.784974242651532E-5     -4.7037618482811696E-8   210.08545013297675       2.182463971242714E13
49700                     100                      1.7990277074566502E-5    -4.710762066906531E-8    209.57304813494284       2.184547469067289E13
49900                     100                      1.813138231679416E-5     -4.72185949770112E-8     208.9921107278645        2.186630966891865E13
50100                     100                      1.827304816522548E-5     -4.7311212917806223E-8   208.4426630783015        2.1887144647164402E13
50300                     100                      1.841527462987954E-5     -4.738582319580463E-8    207.92387686683395       2.1907979625410156E13
50500                     100                      1.8558071586472025E-5    -4.75009459142123E-8     207.33776851756429       2.192881460365591E13
50700                     100                      1.870142416904204E-5     -4.75687485937002E-8     206.83150888563162       2.1949649581901664E13
50900                     100                      1.884534719499262E-5     -4.767704814873393E-8    206.2580256774732        2.1970484560147418E13
51100                     100                      1.898983074848686E-5     -4.776726533040583E-8    205.71548967987022       2.199131953839317E13
51300                     100                      1.9134874838792622E-5    -4.783975258626819E-8    205.20310568089474       2.201215451663892E13
51500                     100                      1.9280489256975125E-5    -4.7952277203055784E-8   204.62466369810056       2.203298949488468E13
51700                     100                      1.9426659256340772E-5    -4.801813812755155E-8    204.12466682930724       2.2053824473130434E13
51900.00000000001         100                      1.9573399527882475E-5    -4.812402323264122E-8    203.55870706250545       2.2074659451376188E13
52100                     100                      1.972070023469778E-5     -4.821210754090409E-8    203.0231744984674        2.209549442962194E13
52300.00000000001         100                      1.9868561384720333E-5    -4.8282746339090014E-8   202.51730538250763       2.2116329407867695E13
52500                     100                      2.0016992676882168E-5    -4.839295113829619E-8    201.94659379817654       2.213716438611345E13
